vin  ordinal  vendor_name  part_number  description  unit_price  status  quantity
0216UZ8NIB3005163	002	Bioholding	BG-BAED0025	Inner door handle	503.97	installed	3
0216UZ8NIB3005163	002	Bioholding	BG-EAEM0149	Transmission computer	173.35	installed	1
0216UZ8NIB3005163	002	Bioholding	BG-EAESS0115	Starter	494.83	installed	1
0216UZ8NIB3005163	002	Bioholding	BG-PACBS0163	Anti-lock braking system	103.39	installed	1
0H6SRXF8EP7967929	004	Bioholding	BG-BAE0004	Cowl screen	92.51	installed	1
0H6SRXF8EP7967929	004	Bioholding	BG-EAECS0052	Other alternator parts	33.64	installed	1
0KAMFH817HG984940	001	Bioholding	BG-BAEW0037	Window regulator	98.16	installed	1
0KAMFH817HG984940	001	Bioholding	BG-EAEESS0055	Battery box	19.94	installed	1
0KAMFH817HG984940	001	Bioholding	BG-EAES0122	Power window switch	71.57	installed	1
340D7EL25S2404955	003	Bioholding	BG-BAE0015	Roof Rack	17.52	installed	1
340D7EL25S2404955	003	Bioholding	BG-EAEIS0076	Distributor	3.59	installed	1
340D7EL25S2404955	003	Bioholding	BG-PACBS0191	Brake booster hose	57.67	installed	4
41DPYVQZCO3181476	002	Bioholding	BG-BAEW0039	Windshield washer motor	394.61	installed	2
41DPYVQZCO3181476	002	Bioholding	BG-EAELASS0091	Tail light	413.20	installed	1
41DPYVQZCO3181476	002	Bioholding	BG-EAEM0138	Engine computer and management system	478.16	installed	1
447NADHKNTP823552	005	Bioholding	BG-EAEESS0057	Battery cable	79.77	installed	1
447NADHKNTP823552	005	Bioholding	BG-EAES0093	Airbag sensor	99.49	installed	1
447NADHKNTP823552	005	Bioholding	BG-EAES0104	Pressure sensor	279.26	installed	4
52J1ULU58OB110991	002	Bioholding	BG-BAE0002	Unexposed bumper	93.08	ordered	1
52J1ULU58OB110991	002	Bioholding	BG-BAE0013	Radiator core support	143.83	ordered	1
52J1ULU58OB110991	002	Bioholding	BG-EAEIS0075	Coil wire	4.04	received	1
52J1ULU58OB110991	002	Bioholding	BG-IFCAP0151	Carpet and other floor material	12.97	installed	1
6O3JWO1Q4FP773157	004	Bioholding	BG-BAE0013	Radiator core support	189.95	installed	1
6O3JWO1Q4FP773157	004	Bioholding	BG-EAEIS0077	Electronic timing controller	140.44	installed	1
6O3JWO1Q4FP773157	004	Bioholding	BG-EAELASS0084	Fog Light	292.80	installed	1
6O3JWO1Q4FP773157	004	Bioholding	BG-ICS0161	Seat cover	118.28	installed	1
7NZJI4NR80U192007	002	Bioholding	BG-BAE0022	Welded assembly	98.55	received	4
7NZJI4NR80U192007	002	Bioholding	BG-EAEAD0046	Tuner	16.57	received	1
7NZJI4NR80U192007	002	Bioholding	BG-ICS0157	Fastener	49.89	ordered	1
7NZJI4NR80U192007	002	Bioholding	BG-PACBS0194	Hydraulic booster unit	44.33	received	1
7QRXAX01CS1186500	001	Bioholding	BG-EAEESS0061	Voltage regulator	16.40	received	1
7XQ1OO4FTRB936926	001	Bioholding	BG-BAE0013	Radiator core support	42.24	installed	1
7XQ1OO4FTRB936926	001	Bioholding	BG-EAECS0048	Alternator	88.89	received	1
7XQ1OO4FTRB936926	002	Bioholding	BG-BAED0032	Centre Locking	0.06	received	1
7XQ1OO4FTRB936926	002	Bioholding	BG-EAES0093	Airbag sensor	25.11	installed	1
7XQ1OO4FTRB936926	002	Bioholding	BG-ICS0161	Seat cover	74.54	installed	1
A35CVWAPCGY561956	005	Bioholding	BG-EAECS0051	Alternator fan	39.90	installed	1
A35CVWAPCGY561956	005	Bioholding	BG-EAEESS0057	Battery cable	24.86	installed	1
A35CVWAPCGY561956	005	Bioholding	BG-PACBS0174	Brake pad	21.71	installed	1
A51QFDDJ7J7514581	003	Bioholding	BG-BAE0017	Front spoiler	73.60	installed	1
A51QFDDJ7J7514581	003	Bioholding	BG-BAED0031	Lock	33.06	installed	1
A51QFDDJ7J7514581	003	Bioholding	BG-EAEGAM0068	Speedometer	6.89	installed	1
AB7D5GUATWA988114	001	Bioholding	BG-BAED0023	Door beam and panel	22.17	ordered	1
AB7D5GUATWA988114	001	Bioholding	BG-EAEM0144	Relay connector	16.49	received	1
AB7D5GUATWA988114	001	Bioholding	BG-EAES0099	Knock sensor	33.52	ordered	1
AB7D5GUATWA988114	001	Bioholding	BG-PACBS0186	Caliper	19.89	installed	1
AG15D1BT811693167	001	Bioholding	BG-EAELASS0083	Engine bay lighting	25.86	installed	1
BQS2CJ56IBQ176739	002	Bioholding	BG-EAEGAM0062	Ammeter	27.97	installed	1
BQS2CJ56IBQ176739	002	Bioholding	BG-EAELASS0084	Fog Light	12.97	installed	1
DLCCHFQS6JE933115	002	Bioholding	BG-BAE0010	Grille	603.75	installed	3
DLCCHFQS6JE933115	002	Bioholding	BG-BAE0017	Front spoiler	61.17	installed	1
DLCCHFQS6JE933115	002	Bioholding	BG-EAECS0048	Alternator	471.37	installed	4
DLCCHFQS6JE933115	002	Bioholding	BG-EAEWH0131	Underfloor harness	360.90	installed	1
DTPFWL37FTZ702472	001	Bioholding	BG-BAE0006	Fascia rear and support	218.09	installed	2
DTPFWL37FTZ702472	001	Bioholding	BG-BAED0032	Centre Locking	205.44	installed	4
DTPFWL37FTZ702472	001	Bioholding	BG-EAES0123	Steering column switch	204.81	installed	1
GMLZ3HXD33V025329	002	Bioholding	BG-EAEESS0053	Battery	12.04	installed	1
GMLZ3HXD33V025329	002	Bioholding	BG-EAEESS0055	Battery box	0.50	installed	1
GMLZ3HXD33V025329	002	Bioholding	BG-EAEESS0060	Battery tray	28.57	installed	1
GMLZ3HXD33V025329	002	Bioholding	BG-EAEGAM0072	Vacuum gauge	34.37	installed	1
GUSD5Z52ID6316641	003	Bioholding	BG-EAELASS0088	Interior light and lamp	170.26	installed	1
GUSD5Z52ID6316641	003	Bioholding	BG-EAEM0138	Engine computer and management system	59.45	installed	1
GUSD5Z52ID6316641	003	Bioholding	BG-PACBS0180	Brake servo	108.49	installed	1
LEL1EDGLIJB218949	001	Bioholding	BG-EAEESS0056	Battery cable terminal	40.59	installed	2
LEL1EDGLIJB218949	001	Bioholding	BG-ICS0153	Armrest	54.46	installed	2
MKBNHXQ0YCV993030	001	Bioholding	BG-BAEW0033	Glass	49.66	installed	2
